id,title,genres,popularity,release_date,budget,revenue,vote_average
587634,Making Milk,Action-Comedy-Crime-Documentary-Drama-Mystery,0.6,2016/6/1,5,75,10
772307,Mako,Drama-Thriller-Adventure,1.306,2021/9/1,25000000,458000,10
661043,Malang,Romance-Action-Drama,5.217,2020/2/6,7907534,11136444,7.3
434884,Malapata,Comedy,0.741,2017/3/16,25000,93039,6.4
215359,Malarvaadi Arts Club,Drama-Comedy,1.565,2010/7/16,340000,1000000,6.4
703014,Malawi,Documentary,0.6,2018/8/9,1,140,10
1883,Malcolm X,Drama-History,13.991,1992/11/18,34000000,48169908,7.5
102651,Maleficent,Fantasy-Adventure-Action-Family-Romance,93.734,2014/5/28,180000000,758539785,7.1
420809,Maleficent: Mistress of Evil,Family-Fantasy-Adventure,86.553,2019/10/16,185000000,491570967,7.3
13411,Malibu's Most Wanted,Comedy-Crime,12.107,2003/4/10,15000000,34000000,5.1
619778,Malignant,Thriller-Horror-Mystery,96.332,2021/9/1,40000000,24640084,7
412795,Maligno,Horror-Mystery,9.867,2016/7/14,150000,400,6
2293,Mallrats,Romance-Comedy,15.939,1995/10/20,6000000,2122561,6.8
134303,Mallu Singh,Action-Comedy,2.027,2012/5/4,1300000,1530000,4.9
132232,Mama,Horror,42.808,2013/1/17,15000000,146497771,6.2
575463,Mama Weed,Drama-Crime-Comedy,5.629,2020/9/9,5080800,5413054,5.9
321,Mambo Italiano,Comedy-Romance,5.92,2003/6/6,4361898,3031801,5.8
11631,Mamma Mia!,Comedy-Romance,46.636,2008/7/2,52000000,609841637,7
458423,Mamma Mia! Here We Go Again,Comedy-Romance,19.79,2018/7/9,75000000,395044706,7.2
33974,Mammoth,Drama-Romance,7.53,2009/1/19,10000000,2033946,6.1
37832,Mammuth,Comedy,7.397,2010/4/21,3000000,7100000,5.8
139432,Mamonas pra Sempre,Documentary-TV Movie,0.827,2009/7/4,1,1,7.4
25372,Man About Dog,Comedy,2.166,2004/10/1,2400000,2600000,6.1
10086,Man Bites Dog,Comedy-Crime-Drama-Thriller-Horror,7.617,1992/8/20,33000,205569,7.3
508408,Man Hamsarash Hastam,Drama-Family,0.844,2012/3/1,15000,1500000,0
508413,Man Madar Hastam,Drama,1.4,2012/5/9,15000,50000,0
49521,Man of Steel,Action-Adventure-Fantasy-Science Fiction,87.787,2013/6/12,225000000,754045518,6.6
76544,Man of Tai Chi,Action-Drama,44.05,2013/7/4,25000000,2054941,6
13498,Man of the House,Comedy-Action,11.984,2005/2/25,40000000,21577624,5.7
9895,Man of the Year,Comedy-Romance-Thriller,7.627,2006/10/9,20000000,42472472,6
49527,Man on a Ledge,Action-Thriller-Crime,28.938,2012/1/13,42000000,46221189,6.4
9509,Man on Fire,Action-Drama-Thriller,49.788,2004/4/23,70000000,130293714,7.4
